station,day,avg_rh
AAA,2012-05-01,87.86275
AAA,2012-05-02,77.29317
AAA,2012-05-03,74.17065
AAA,2012-05-04,78.83271
AAA,2012-05-05,71.174164
AAA,2012-05-06,67.96647
AAA,2012-05-07,83.71251
AAA,2012-05-08,54.623905
AAA,2012-05-09,56.031273
AAA,2012-05-10,54.890526
AAA,2012-05-11,45.98938
AAA,2012-05-12,58.421818
AAA,2012-05-13,46.12214
AAA,2012-05-14,30.752111
AAA,2012-05-15,40.56336
AAA,2012-05-16,40.30842
AAA,2012-05-17,34.894352
AAA,2012-05-18,40.707302
AAA,2012-05-19,47.47439
AAA,2012-05-20,61.477432
AAA,2012-05-21,68.98299
AAA,2012-05-22,55.775578
AAA,2012-05-23,46.11082
AAA,2012-05-24,47.161755
AAA,2012-05-25,50.85348
AAA,2012-05-26,55.920795
AAA,2012-05-27,47.75629
AAA,2012-05-28,48.20206
AAA,2012-05-29,45.522804
AAA,2012-05-30,44.36966
AAA,2012-05-31,78.26682
AAA,2012-06-01,67.63423
AAA,2012-06-02,67.903496
AAA,2012-06-03,61.814198
AAA,2012-06-04,77.198006
AAA,2012-06-05,57.658794
AAA,2012-06-06,57.920544
AAA,2012-06-07,49.874977
AAA,2012-06-08,51.623013
AAA,2012-06-09,49.82433
AAA,2012-06-10,53.977966
AAA,2012-06-11,74.898766
AAA,2012-06-12,49.833225
AAA,2012-06-13,53.871162
AAA,2012-06-14,54.900284
AAA,2012-06-15,51.836117
AAA,2012-06-16,60.47253
AAA,2012-06-17,71.72866
AAA,2012-06-18,60.413754
AAA,2012-06-19,56.987003
AAA,2012-06-20,53.660294
AAA,2012-06-21,60.212566
AAA,2012-06-22,57.48338
AAA,2012-06-23,61.640125
AAA,2012-06-24,69.65394
AAA,2012-06-25,48.646526
AAA,2012-06-26,56.44884
AAA,2012-06-27,46.87757
AAA,2012-06-28,51.47175
AAA,2012-06-29,61.36258
AAA,2012-06-30,67.084496
AAA,2012-07-01,67.92888
AAA,2012-07-02,63.21075
AAA,2012-07-03,61.599487
AAA,2012-07-04,58.647877
AAA,2012-07-05,62.056637
AAA,2012-07-06,55.151005
AAA,2012-07-07,53.80108
AAA,2012-07-08,68.68408
AAA,2012-07-09,57.43461
AAA,2012-07-10,55.145676
AAA,2012-07-11,53.017994
AAA,2012-07-12,54.460793
AAA,2012-07-13,62.773106
AAA,2012-07-14,75.26392
AAA,2012-07-15,68.82464
AAA,2012-07-16,65.59899
AAA,2012-07-17,60.66391
AAA,2012-07-18,61.734146
AAA,2012-07-19,59.54755
AAA,2012-07-20,69.900024
AAA,2012-07-21,61.27987
AAA,2012-07-22,56.14685
AAA,2012-07-23,48.497456
AAA,2012-07-24,54.92239
AAA,2012-07-25,53.898388
AAA,2012-07-26,61.18467
AAA,2012-07-27,57.865425
AAA,2012-07-28,63.927544
AAA,2012-07-29,62.079243
AAA,2012-07-30,62.456158
AAA,2012-07-31,62.212936
AAA,2012-08-01,58.193302
AAA,2012-08-02,63.522514
AAA,2012-08-03,68.331696
AAA,2012-08-04,69.339096
AAA,2012-08-05,60.851704
AAA,2012-08-06,55.130787
AAA,2012-08-07,51.78407
AAA,2012-08-08,69.7322
AAA,2012-08-09,70.2933
AAA,2012-08-10,64.22956
AAA,2012-08-11,54.34233
AAA,2012-08-12,63.04872
AAA,2012-08-13,81.28513
AAA,2012-08-14,71.47964
AAA,2012-08-15,58.492306
AAA,2012-08-16,79.24651
AAA,2012-08-17,64.63963
AAA,2012-08-18,62.18873
AAA,2012-08-19,60.362366
AAA,2012-08-20,60.60602
AAA,2012-08-21,60.42706
AAA,2012-08-22,50.828857
AAA,2012-08-23,47.347202
AAA,2012-08-24,47.743732
AAA,2012-08-25,53.7287
AAA,2012-08-26,80.935005
AAA,2012-08-27,69.1545
AAA,2012-08-28,59.94365
AAA,2012-08-29,61.892735
AAA,2012-08-30,54.97459
AAA,2012-08-31,75.51953
AAA,2012-09-01,90.04993
AAA,2012-09-02,88.03427
AAA,2012-09-03,74.00479
AAA,2012-09-04,69.91006
AAA,2012-09-05,76.60649
AAA,2012-09-06,66.74962
AAA,2012-09-07,83.72764
AAA,2012-09-08,64.20193
AAA,2012-09-09,63.173992
AAA,2012-09-10,62.05894
AAA,2012-09-11,61.50525
AAA,2012-09-12,62.49871
AAA,2012-09-13,70.99981
AAA,2012-09-14,72.00962
AAA,2012-09-15,62.553764
AAA,2012-09-16,67.09346
AAA,2012-09-17,82.9943
AAA,2012-09-18,61.585396
AAA,2012-09-19,55.827305
AAA,2012-09-20,48.24768
AAA,2012-09-21,70.35167
AAA,2012-09-22,64.394485
AAA,2012-09-23,86.56431
AAA,2012-09-24,
AAA,2012-09-25,79.179375
AAA,2012-09-26,84.87364
AAA,2012-09-27,57.15181
AAA,2012-09-28,64.11889
AAA,2012-09-29,60.410572
AAA,2012-09-30,56.62865
AAA,2012-10-01,62.72657
AAA,2012-10-02,66.86315
AAA,2012-10-03,72.64477
AAA,2012-10-04,70.66677
AAA,2012-10-05,81.49965
AAA,2012-10-06,66.81458
AAA,2012-10-07,59.779507
AAA,2012-10-08,61.47693
AAA,2012-10-09,63.922657
AAA,2012-10-10,65.95305
AAA,2012-10-11,58.01177
AAA,2012-10-12,59.076378
AAA,2012-10-13,85.87713
AAA,2012-10-14,83.139435
AAA,2012-10-15,71.21699
AAA,2012-10-16,67.8353
AAA,2012-10-17,81.49475
AAA,2012-10-18,62.843895
AAA,2012-10-19,85.523506
AAA,2012-10-20,80.52158
AAA,2012-10-21,77.12978
AAA,2012-10-22,84.91435
AAA,2012-10-23,83.812454
AAA,2012-10-24,73.26403
AAA,2012-10-25,76.83691
AAA,2012-10-26,65.22652
AAA,2012-10-27,67.6725
AAA,2012-10-28,70.10246
AAA,2012-10-29,61.160316
AAA,2012-10-30,52.358253
AAA,2012-10-31,57.50349
