station,day,avg_rh
SGF,2012-05-01,71.364426
SGF,2012-05-02,66.16011
SGF,2012-05-03,77.79297
SGF,2012-05-04,78.80391
SGF,2012-05-05,72.49132
SGF,2012-05-06,73.552475
SGF,2012-05-07,85.25911
SGF,2012-05-08,64.90603
SGF,2012-05-09,61.494328
SGF,2012-05-10,59.481888
SGF,2012-05-11,61.929966
SGF,2012-05-12,69.1262
SGF,2012-05-13,75.14735
SGF,2012-05-14,62.386425
SGF,2012-05-15,57.564743
SGF,2012-05-16,54.032696
SGF,2012-05-17,44.7016
SGF,2012-05-18,45.23645
SGF,2012-05-19,54.545166
SGF,2012-05-20,70.18373
SGF,2012-05-21,58.674797
SGF,2012-05-22,53.502953
SGF,2012-05-23,47.04281
SGF,2012-05-24,59.744667
SGF,2012-05-25,62.261753
SGF,2012-05-26,60.58228
SGF,2012-05-27,48.846848
SGF,2012-05-28,55.720623
SGF,2012-05-29,57.889103
SGF,2012-05-30,51.5706
SGF,2012-05-31,76.20619
SGF,2012-06-01,73.054
SGF,2012-06-02,67.442375
SGF,2012-06-03,75.924736
SGF,2012-06-04,67.42184
SGF,2012-06-05,58.24102
SGF,2012-06-06,50.3139
SGF,2012-06-07,51.345608
SGF,2012-06-08,52.681595
SGF,2012-06-09,53.13491
SGF,2012-06-10,61.698128
SGF,2012-06-11,82.838776
SGF,2012-06-12,57.819935
SGF,2012-06-13,54.001377
SGF,2012-06-14,49.043896
SGF,2012-06-15,57.422215
SGF,2012-06-16,64.82754
SGF,2012-06-17,62.70253
SGF,2012-06-18,53.54843
SGF,2012-06-19,56.988598
SGF,2012-06-20,56.344673
SGF,2012-06-21,72.943665
SGF,2012-06-22,54.836586
SGF,2012-06-23,46.130283
SGF,2012-06-24,46.531597
SGF,2012-06-25,54.550755
SGF,2012-06-26,41.160885
SGF,2012-06-27,32.012383
SGF,2012-06-28,37.24689
SGF,2012-06-29,43.474945
SGF,2012-06-30,43.76108
SGF,2012-07-01,44.796608
SGF,2012-07-02,55.630714
SGF,2012-07-03,49.355286
SGF,2012-07-04,41.838806
SGF,2012-07-05,40.91517
SGF,2012-07-06,40.33024
SGF,2012-07-07,60.296055
SGF,2012-07-08,60.29685
SGF,2012-07-09,72.00463
SGF,2012-07-10,52.415596
SGF,2012-07-11,50.839622
SGF,2012-07-12,48.995056
SGF,2012-07-13,55.882053
SGF,2012-07-14,60.611897
SGF,2012-07-15,61.82654
SGF,2012-07-16,58.3363
SGF,2012-07-17,52.485146
SGF,2012-07-18,44.798527
SGF,2012-07-19,41.03189
SGF,2012-07-20,44.300816
SGF,2012-07-21,45.511856
SGF,2012-07-22,45.194134
SGF,2012-07-23,46.522305
SGF,2012-07-24,46.814022
SGF,2012-07-25,42.130806
SGF,2012-07-26,51.516754
SGF,2012-07-27,49.68661
SGF,2012-07-28,36.86795
SGF,2012-07-29,38.50851
SGF,2012-07-30,33.016117
SGF,2012-07-31,46.685516
SGF,2012-08-01,50.11112
SGF,2012-08-02,50.39618
SGF,2012-08-03,45.78018
SGF,2012-08-04,45.8878
SGF,2012-08-05,60.93359
SGF,2012-08-06,47.02711
SGF,2012-08-07,42.59333
SGF,2012-08-08,54.87576
SGF,2012-08-09,58.341545
SGF,2012-08-10,52.987495
SGF,2012-08-11,49.830677
SGF,2012-08-12,50.997528
SGF,2012-08-13,68.90124
SGF,2012-08-14,78.521545
SGF,2012-08-15,54.892475
SGF,2012-08-16,61.173256
SGF,2012-08-17,54.21478
SGF,2012-08-18,56.269035
SGF,2012-08-19,52.32024
SGF,2012-08-20,42.925068
SGF,2012-08-21,40.752743
SGF,2012-08-22,43.8392
SGF,2012-08-23,43.00519
SGF,2012-08-24,43.56334
SGF,2012-08-25,68.224396
SGF,2012-08-26,80.376816
SGF,2012-08-27,65.5659
SGF,2012-08-28,52.29454
SGF,2012-08-29,41.39329
SGF,2012-08-30,47.27193
SGF,2012-08-31,89.612755
SGF,2012-09-01,91.490005
SGF,2012-09-02,73.43494
SGF,2012-09-03,67.58904
SGF,2012-09-04,64.20208
SGF,2012-09-05,58.81882
SGF,2012-09-06,63.83419
SGF,2012-09-07,72.1007
SGF,2012-09-08,66.16431
SGF,2012-09-09,58.83233
SGF,2012-09-10,59.055954
SGF,2012-09-11,58.283077
SGF,2012-09-12,57.6735
SGF,2012-09-13,67.618126
SGF,2012-09-14,88.48987
SGF,2012-09-15,92.16892
SGF,2012-09-16,89.23056
SGF,2012-09-17,82.616455
SGF,2012-09-18,62.582325
SGF,2012-09-19,57.288406
SGF,2012-09-20,55.674675
SGF,2012-09-21,62.937565
SGF,2012-09-22,53.205723
SGF,2012-09-23,50.738667
SGF,2012-09-24,56.337234
SGF,2012-09-25,58.967377
SGF,2012-09-26,79.218575
SGF,2012-09-27,85.08939
SGF,2012-09-28,84.55757
SGF,2012-09-29,64.93528
SGF,2012-09-30,70.53155
SGF,2012-10-01,63.263317
SGF,2012-10-02,70.68642
SGF,2012-10-03,66.79128
SGF,2012-10-04,68.01401
SGF,2012-10-05,83.234055
SGF,2012-10-06,76.23311
SGF,2012-10-07,66.21406
SGF,2012-10-08,65.16357
SGF,2012-10-09,72.890686
SGF,2012-10-10,61.033363
SGF,2012-10-11,68.08265
SGF,2012-10-12,89.02552
SGF,2012-10-13,85.907974
SGF,2012-10-14,70.63625
SGF,2012-10-15,64.19385
SGF,2012-10-16,51.90128
SGF,2012-10-17,74.04708
SGF,2012-10-18,44.30367
SGF,2012-10-19,60.369392
SGF,2012-10-20,61.361153
SGF,2012-10-21,67.74309
SGF,2012-10-22,76.4681
SGF,2012-10-23,74.47633
SGF,2012-10-24,69.96001
SGF,2012-10-25,81.27998
SGF,2012-10-26,65.38375
SGF,2012-10-27,70.14084
SGF,2012-10-28,65.37499
SGF,2012-10-29,60.77348
SGF,2012-10-30,56.235344
SGF,2012-10-31,54.03867
