station,day,max_temp_f
AAA,2012-05-01,76.28
AAA,2012-05-02,83.66
AAA,2012-05-03,84.2
AAA,2012-05-04,80.96
AAA,2012-05-05,87.62
AAA,2012-05-06,92.3
AAA,2012-05-07,72.5
AAA,2012-05-08,74.12
AAA,2012-05-09,69.62
AAA,2012-05-10,73.22
AAA,2012-05-11,78.8
AAA,2012-05-12,77.36
AAA,2012-05-13,78.62
AAA,2012-05-14,82.22
AAA,2012-05-15,85.28
AAA,2012-05-16,76.28
AAA,2012-05-17,80.96
AAA,2012-05-18,87.44
AAA,2012-05-19,92.66
AAA,2012-05-20,91.76
AAA,2012-05-21,71.06
AAA,2012-05-22,75.74
AAA,2012-05-23,82.94
AAA,2012-05-24,89.78
AAA,2012-05-25,90.5
AAA,2012-05-26,93.38
AAA,2012-05-27,94.46
AAA,2012-05-28,94.28
AAA,2012-05-29,87.8
AAA,2012-05-30,77.9
AAA,2012-05-31,58.1
AAA,2012-06-01,69.26
AAA,2012-06-02,73.4
AAA,2012-06-03,83.48
AAA,2012-06-04,73.58
AAA,2012-06-05,80.24
AAA,2012-06-06,78.8
AAA,2012-06-07,83.48
AAA,2012-06-08,86.72
AAA,2012-06-09,90.32
AAA,2012-06-10,89.42
AAA,2012-06-11,81.5
AAA,2012-06-12,80.96
AAA,2012-06-13,81.5
AAA,2012-06-14,87.08
AAA,2012-06-15,91.76
AAA,2012-06-16,92.66
AAA,2012-06-17,88.16
AAA,2012-06-18,92.48
AAA,2012-06-19,93.2
AAA,2012-06-20,92.12
AAA,2012-06-21,83.48
AAA,2012-06-22,85.1
AAA,2012-06-23,86.36
AAA,2012-06-24,85.1
AAA,2012-06-25,84.38
AAA,2012-06-26,84.56
AAA,2012-06-27,91.58
AAA,2012-06-28,102.38
AAA,2012-06-29,100.76
AAA,2012-06-30,95.36
AAA,2012-07-01,93.38
AAA,2012-07-02,99.68
AAA,2012-07-03,97.34
AAA,2012-07-04,101.48
AAA,2012-07-05,100.94
AAA,2012-07-06,104.36
AAA,2012-07-07,104.9
AAA,2012-07-08,87.26
AAA,2012-07-09,91.58
AAA,2012-07-10,91.04
AAA,2012-07-11,91.58
AAA,2012-07-12,95.36
AAA,2012-07-13,94.28
AAA,2012-07-14,91.04
AAA,2012-07-15,90.86
AAA,2012-07-16,95.0
AAA,2012-07-17,97.88
AAA,2012-07-18,102.4
AAA,2012-07-19,98.6
AAA,2012-07-20,87.8
AAA,2012-07-21,93.2
AAA,2012-07-22,95.5
AAA,2012-07-23,104.0
AAA,2012-07-24,96.1
AAA,2012-07-25,103.3
AAA,2012-07-26,91.4
AAA,2012-07-27,89.6
AAA,2012-07-28,87.8
AAA,2012-07-29,91.6
AAA,2012-07-30,93.9
AAA,2012-07-31,100.4
AAA,2012-08-01,93.92
AAA,2012-08-02,98.6
AAA,2012-08-03,94.82
AAA,2012-08-04,94.28
AAA,2012-08-05,88.88
AAA,2012-08-06,90.5
AAA,2012-08-07,98.42
AAA,2012-08-08,91.94
AAA,2012-08-09,92.3
AAA,2012-08-10,81.32
AAA,2012-08-11,83.48
AAA,2012-08-12,79.88
AAA,2012-08-13,76.64
AAA,2012-08-14,84.92
AAA,2012-08-15,89.24
AAA,2012-08-16,78.08
AAA,2012-08-17,78.44
AAA,2012-08-18,80.78
AAA,2012-08-19,82.22
AAA,2012-08-20,83.48
AAA,2012-08-21,85.1
AAA,2012-08-22,91.58
AAA,2012-08-23,96.62
AAA,2012-08-24,98.42
AAA,2012-08-25,94.1
AAA,2012-08-26,86.54
AAA,2012-08-27,90.68
AAA,2012-08-28,92.3
AAA,2012-08-29,91.76
AAA,2012-08-30,95.9
AAA,2012-08-31,84.2
AAA,2012-09-01,84.2
AAA,2012-09-02,81.32
AAA,2012-09-03,91.76
AAA,2012-09-04,95.0
AAA,2012-09-05,85.28
AAA,2012-09-06,90.14
AAA,2012-09-07,78.62
AAA,2012-09-08,74.66
AAA,2012-09-09,75.2
AAA,2012-09-10,79.88
AAA,2012-09-11,84.92
AAA,2012-09-12,87.08
AAA,2012-09-13,84.92
AAA,2012-09-14,73.04
AAA,2012-09-15,77.36
AAA,2012-09-16,80.6
AAA,2012-09-17,78.26
AAA,2012-09-18,66.56
AAA,2012-09-19,74.84
AAA,2012-09-20,76.28
AAA,2012-09-21,78.62
AAA,2012-09-22,62.78
AAA,2012-09-23,46.04
AAA,2012-09-24,
AAA,2012-09-25,75.38
AAA,2012-09-26,75.56
AAA,2012-09-27,75.2
AAA,2012-09-28,72.86
AAA,2012-09-29,78.8
AAA,2012-09-30,75.2
AAA,2012-10-01,66.2
AAA,2012-10-02,74.3
AAA,2012-10-03,72.68
AAA,2012-10-04,82.4
AAA,2012-10-05,50.18
AAA,2012-10-06,50.54
AAA,2012-10-07,52.88
AAA,2012-10-08,60.98
AAA,2012-10-09,68.18
AAA,2012-10-10,57.02
AAA,2012-10-11,68.18
AAA,2012-10-12,62.6
AAA,2012-10-13,70.88
AAA,2012-10-14,72.5
AAA,2012-10-15,65.3
AAA,2012-10-16,74.3
AAA,2012-10-17,64.58
AAA,2012-10-18,56.66
AAA,2012-10-19,54.5
AAA,2012-10-20,58.46
AAA,2012-10-21,73.4
AAA,2012-10-22,68.9
AAA,2012-10-23,72.86
AAA,2012-10-24,80.06
AAA,2012-10-25,79.16
AAA,2012-10-26,50.72
AAA,2012-10-27,49.82
AAA,2012-10-28,51.44
AAA,2012-10-29,54.5
AAA,2012-10-30,54.5
AAA,2012-10-31,51.8
