station,day,avg_rh
DVN,2012-05-01,94.61818
DVN,2012-05-02,80.33821
DVN,2012-05-03,73.47854
DVN,2012-05-04,78.7099
DVN,2012-05-05,85.6008
DVN,2012-05-06,84.58609
DVN,2012-05-07,75.57665
DVN,2012-05-08,64.36966
DVN,2012-05-09,67.41015
DVN,2012-05-10,57.8685
DVN,2012-05-11,55.88173
DVN,2012-05-12,71.57751
DVN,2012-05-13,55.545784
DVN,2012-05-14,42.194008
DVN,2012-05-15,41.830753
DVN,2012-05-16,45.801914
DVN,2012-05-17,38.281662
DVN,2012-05-18,37.636448
DVN,2012-05-19,45.3818
DVN,2012-05-20,52.031685
DVN,2012-05-21,47.062347
DVN,2012-05-22,49.88119
DVN,2012-05-23,42.464092
DVN,2012-05-24,43.4486
DVN,2012-05-25,63.90199
DVN,2012-05-26,52.053562
DVN,2012-05-27,53.540432
DVN,2012-05-28,63.68905
DVN,2012-05-29,52.55495
DVN,2012-05-30,54.000065
DVN,2012-05-31,84.622185
DVN,2012-06-01,65.88239
DVN,2012-06-02,71.68402
DVN,2012-06-03,64.0496
DVN,2012-06-04,67.290535
DVN,2012-06-05,55.441414
DVN,2012-06-06,55.12249
DVN,2012-06-07,53.62871
DVN,2012-06-08,51.784904
DVN,2012-06-09,44.432922
DVN,2012-06-10,53.266808
DVN,2012-06-11,66.77175
DVN,2012-06-12,57.94072
DVN,2012-06-13,53.272243
DVN,2012-06-14,50.84852
DVN,2012-06-15,49.386917
DVN,2012-06-16,79.95833
DVN,2012-06-17,67.195244
DVN,2012-06-18,62.67324
DVN,2012-06-19,61.834026
DVN,2012-06-20,60.763874
DVN,2012-06-21,66.45778
DVN,2012-06-22,61.086807
DVN,2012-06-23,63.196205
DVN,2012-06-24,74.86225
DVN,2012-06-25,45.201454
DVN,2012-06-26,54.830196
DVN,2012-06-27,51.00214
DVN,2012-06-28,71.81274
DVN,2012-06-29,69.60553
DVN,2012-06-30,79.59283
DVN,2012-07-01,72.69791
DVN,2012-07-02,67.778114
DVN,2012-07-03,64.746796
DVN,2012-07-04,64.76446
DVN,2012-07-05,64.55269
DVN,2012-07-06,68.39418
DVN,2012-07-07,63.969643
DVN,2012-07-08,53.56088
DVN,2012-07-09,68.72605
DVN,2012-07-10,62.86329
DVN,2012-07-11,57.119038
DVN,2012-07-12,61.607834
DVN,2012-07-13,79.23716
DVN,2012-07-14,76.08343
DVN,2012-07-15,70.047485
DVN,2012-07-16,64.55914
DVN,2012-07-17,61.353516
DVN,2012-07-18,62.20391
DVN,2012-07-19,75.91112
DVN,2012-07-20,70.82921
DVN,2012-07-21,73.42515
DVN,2012-07-22,62.182835
DVN,2012-07-23,54.476902
DVN,2012-07-24,63.024616
DVN,2012-07-25,57.628693
DVN,2012-07-26,71.35918
DVN,2012-07-27,65.80989
DVN,2012-07-28,74.51999
DVN,2012-07-29,67.16214
DVN,2012-07-30,62.78373
DVN,2012-07-31,64.51176
DVN,2012-08-01,66.20578
DVN,2012-08-02,58.306995
DVN,2012-08-03,64.67713
DVN,2012-08-04,80.28743
DVN,2012-08-05,73.741264
DVN,2012-08-06,66.84087
DVN,2012-08-07,67.17304
DVN,2012-08-08,79.482895
DVN,2012-08-09,80.01308
DVN,2012-08-10,70.605225
DVN,2012-08-11,68.86666
DVN,2012-08-12,79.55951
DVN,2012-08-13,85.571846
DVN,2012-08-14,74.734604
DVN,2012-08-15,62.10721
DVN,2012-08-16,70.36901
DVN,2012-08-17,70.89694
DVN,2012-08-18,68.57277
DVN,2012-08-19,69.24207
DVN,2012-08-20,67.63463
DVN,2012-08-21,63.983845
DVN,2012-08-22,57.072506
DVN,2012-08-23,47.26133
DVN,2012-08-24,47.17128
DVN,2012-08-25,53.797653
DVN,2012-08-26,88.75757
DVN,2012-08-27,77.60177
DVN,2012-08-28,71.678604
DVN,2012-08-29,66.64607
DVN,2012-08-30,60.597775
DVN,2012-08-31,67.16326
DVN,2012-09-01,78.29422
DVN,2012-09-02,79.092026
DVN,2012-09-03,77.94955
DVN,2012-09-04,72.59651
DVN,2012-09-05,73.10193
DVN,2012-09-06,65.149956
DVN,2012-09-07,81.455025
DVN,2012-09-08,64.89223
DVN,2012-09-09,70.523544
DVN,2012-09-10,66.12391
DVN,2012-09-11,57.66187
DVN,2012-09-12,56.389576
DVN,2012-09-13,80.86433
