station,day,max_temp_f
DVN,2012-05-01,61.0
DVN,2012-05-02,78.0
DVN,2012-05-03,82.0
DVN,2012-05-04,79.0
DVN,2012-05-05,77.0
DVN,2012-05-06,77.0
DVN,2012-05-07,73.0
DVN,2012-05-08,69.0
DVN,2012-05-09,67.0
DVN,2012-05-10,70.0
DVN,2012-05-11,80.0
DVN,2012-05-12,68.0
DVN,2012-05-13,75.0
DVN,2012-05-14,81.0
DVN,2012-05-15,88.0
DVN,2012-05-16,72.0
DVN,2012-05-17,79.0
DVN,2012-05-18,87.0
DVN,2012-05-19,90.0
DVN,2012-05-20,84.0
DVN,2012-05-21,74.0
DVN,2012-05-22,78.0
DVN,2012-05-23,84.0
DVN,2012-05-24,92.0
DVN,2012-05-25,81.0
DVN,2012-05-26,90.0
DVN,2012-05-27,94.0
DVN,2012-05-28,88.0
DVN,2012-05-29,79.0
DVN,2012-05-30,70.0
DVN,2012-05-31,57.0
DVN,2012-06-01,68.0
DVN,2012-06-02,71.0
DVN,2012-06-03,81.0
DVN,2012-06-04,80.0
DVN,2012-06-05,78.0
DVN,2012-06-06,76.0
DVN,2012-06-07,81.0
DVN,2012-06-08,84.0
DVN,2012-06-09,87.0
DVN,2012-06-10,87.0
DVN,2012-06-11,84.0
DVN,2012-06-12,74.0
DVN,2012-06-13,75.0
DVN,2012-06-14,86.0
DVN,2012-06-15,90.0
DVN,2012-06-16,87.0
DVN,2012-06-17,83.0
DVN,2012-06-18,90.0
DVN,2012-06-19,90.0
DVN,2012-06-20,90.0
DVN,2012-06-21,83.0
DVN,2012-06-22,84.0
DVN,2012-06-23,81.0
DVN,2012-06-24,85.0
DVN,2012-06-25,80.0
DVN,2012-06-26,82.0
DVN,2012-06-27,91.0
DVN,2012-06-28,95.0
DVN,2012-06-29,90.0
DVN,2012-06-30,88.0
DVN,2012-07-01,90.0
DVN,2012-07-02,93.0
DVN,2012-07-03,93.0
DVN,2012-07-04,95.0
DVN,2012-07-05,95.0
DVN,2012-07-06,97.0
DVN,2012-07-07,100.0
DVN,2012-07-08,88.0
DVN,2012-07-09,92.0
DVN,2012-07-10,84.0
DVN,2012-07-11,87.0
DVN,2012-07-12,91.0
DVN,2012-07-13,82.0
DVN,2012-07-14,87.0
DVN,2012-07-15,92.0
DVN,2012-07-16,93.0
DVN,2012-07-17,95.0
DVN,2012-07-18,98.0
DVN,2012-07-19,87.1
DVN,2012-07-20,85.0
DVN,2012-07-21,86.0
DVN,2012-07-22,91.0
DVN,2012-07-23,99.0
DVN,2012-07-24,91.0
DVN,2012-07-25,99.0
DVN,2012-07-26,90.0
DVN,2012-07-27,84.0
DVN,2012-07-28,82.0
DVN,2012-07-29,87.1
DVN,2012-07-30,93.0
DVN,2012-07-31,92.0
DVN,2012-08-01,93.0
DVN,2012-08-02,92.0
DVN,2012-08-03,95.0
DVN,2012-08-04,91.0
DVN,2012-08-05,80.0
DVN,2012-08-06,82.0
DVN,2012-08-07,91.0
DVN,2012-08-08,80.0
DVN,2012-08-09,81.0
DVN,2012-08-10,79.0
DVN,2012-08-11,79.0
DVN,2012-08-12,70.0
DVN,2012-08-13,73.0
DVN,2012-08-14,83.0
DVN,2012-08-15,84.0
DVN,2012-08-16,76.0
DVN,2012-08-17,75.0
DVN,2012-08-18,76.0
DVN,2012-08-19,77.0
DVN,2012-08-20,79.0
DVN,2012-08-21,80.0
DVN,2012-08-22,88.0
DVN,2012-08-23,92.0
DVN,2012-08-24,92.0
DVN,2012-08-25,90.0
DVN,2012-08-26,74.0
DVN,2012-08-27,86.0
DVN,2012-08-28,88.0
DVN,2012-08-29,89.0
DVN,2012-08-30,90.0
DVN,2012-08-31,88.0
DVN,2012-09-01,75.0
DVN,2012-09-02,85.0
DVN,2012-09-03,90.0
DVN,2012-09-04,92.0
DVN,2012-09-05,85.0
DVN,2012-09-06,82.0
DVN,2012-09-07,76.0
DVN,2012-09-08,73.0
DVN,2012-09-09,73.0
DVN,2012-09-10,78.0
DVN,2012-09-11,84.0
DVN,2012-09-12,86.0
DVN,2012-09-13,65.0
DVN,2012-09-14,75.0
DVN,2012-09-15,77.0
DVN,2012-09-16,75.0
DVN,2012-09-17,78.0
DVN,2012-09-18,63.0
DVN,2012-09-19,76.0
DVN,2012-09-20,71.0
DVN,2012-09-21,60.0
DVN,2012-09-22,61.0
DVN,2012-09-23,63.0
DVN,2012-09-24,73.0
DVN,2012-09-25,80.0
DVN,2012-09-26,73.0
DVN,2012-09-27,69.0
DVN,2012-09-28,71.0
DVN,2012-09-29,82.0
DVN,2012-09-30,74.0
DVN,2012-10-01,70.0
DVN,2012-10-02,74.0
DVN,2012-10-03,75.0
DVN,2012-10-04,66.0
DVN,2012-10-05,49.0
DVN,2012-10-06,49.0
DVN,2012-10-07,52.0
DVN,2012-10-08,62.0
DVN,2012-10-09,63.0
DVN,2012-10-10,54.0
DVN,2012-10-11,71.0
DVN,2012-10-12,57.0
DVN,2012-10-13,67.0
DVN,2012-10-14,64.0
DVN,2012-10-15,63.0
DVN,2012-10-16,76.0
DVN,2012-10-17,64.0
DVN,2012-10-18,48.0
DVN,2012-10-19,53.0
DVN,2012-10-20,55.0
DVN,2012-10-21,71.0
DVN,2012-10-22,66.0
DVN,2012-10-23,73.0
DVN,2012-10-24,80.0
DVN,2012-10-25,72.0
DVN,2012-10-26,48.0
DVN,2012-10-27,46.0
DVN,2012-10-28,51.0
DVN,2012-10-29,52.0
DVN,2012-10-30,54.0
DVN,2012-10-31,52.0
