station,day,max_temp_f
SGF,2012-05-01,81.0
SGF,2012-05-02,84.0
SGF,2012-05-03,80.0
SGF,2012-05-04,85.0
SGF,2012-05-05,86.0
SGF,2012-05-06,86.0
SGF,2012-05-07,73.0
SGF,2012-05-08,71.0
SGF,2012-05-09,69.0
SGF,2012-05-10,76.0
SGF,2012-05-11,70.0
SGF,2012-05-12,77.0
SGF,2012-05-13,75.0
SGF,2012-05-14,75.0
SGF,2012-05-15,78.0
SGF,2012-05-16,82.0
SGF,2012-05-17,83.0
SGF,2012-05-18,86.0
SGF,2012-05-19,86.0
SGF,2012-05-20,78.0
SGF,2012-05-21,72.0
SGF,2012-05-22,78.0
SGF,2012-05-23,86.0
SGF,2012-05-24,86.0
SGF,2012-05-25,90.0
SGF,2012-05-26,93.0
SGF,2012-05-27,91.0
SGF,2012-05-28,90.0
SGF,2012-05-29,90.0
SGF,2012-05-30,85.0
SGF,2012-05-31,72.0
SGF,2012-06-01,65.0
SGF,2012-06-02,79.0
SGF,2012-06-03,78.0
SGF,2012-06-04,88.0
SGF,2012-06-05,82.0
SGF,2012-06-06,81.0
SGF,2012-06-07,77.0
SGF,2012-06-08,82.0
SGF,2012-06-09,88.0
SGF,2012-06-10,88.0
SGF,2012-06-11,77.0
SGF,2012-06-12,82.0
SGF,2012-06-13,82.0
SGF,2012-06-14,88.0
SGF,2012-06-15,89.0
SGF,2012-06-16,91.0
SGF,2012-06-17,90.0
SGF,2012-06-18,92.0
SGF,2012-06-19,89.0
SGF,2012-06-20,90.0
SGF,2012-06-21,81.0
SGF,2012-06-22,88.0
SGF,2012-06-23,94.0
SGF,2012-06-24,95.0
SGF,2012-06-25,99.0
SGF,2012-06-26,95.0
SGF,2012-06-27,101.0
SGF,2012-06-28,101.0
SGF,2012-06-29,99.0
SGF,2012-06-30,99.0
SGF,2012-07-01,99.0
SGF,2012-07-02,94.0
SGF,2012-07-03,96.0
SGF,2012-07-04,100.0
SGF,2012-07-05,101.0
SGF,2012-07-06,103.0
SGF,2012-07-07,101.0
SGF,2012-07-08,99.0
SGF,2012-07-09,88.0
SGF,2012-07-10,94.0
SGF,2012-07-11,93.0
SGF,2012-07-12,95.0
SGF,2012-07-13,93.0
SGF,2012-07-14,85.0
SGF,2012-07-15,93.0
SGF,2012-07-16,95.0
SGF,2012-07-17,97.0
SGF,2012-07-18,101.0
SGF,2012-07-19,102.0
SGF,2012-07-20,99.0
SGF,2012-07-21,98.6
SGF,2012-07-22,98.1
SGF,2012-07-23,100.0
SGF,2012-07-24,99.0
SGF,2012-07-25,102.0
SGF,2012-07-26,93.0
SGF,2012-07-27,102.0
SGF,2012-07-28,101.0
SGF,2012-07-29,106.0
SGF,2012-07-30,104.0
SGF,2012-07-31,95.0
SGF,2012-08-01,101.0
SGF,2012-08-02,101.0
SGF,2012-08-03,98.0
SGF,2012-08-04,106.0
SGF,2012-08-05,92.0
SGF,2012-08-06,95.0
SGF,2012-08-07,99.0
SGF,2012-08-08,98.0
SGF,2012-08-09,91.0
SGF,2012-08-10,83.0
SGF,2012-08-11,85.0
SGF,2012-08-12,89.0
SGF,2012-08-13,77.0
SGF,2012-08-14,71.0
SGF,2012-08-15,93.0
SGF,2012-08-16,94.0
SGF,2012-08-17,82.0
SGF,2012-08-18,81.0
SGF,2012-08-19,86.0
SGF,2012-08-20,86.0
SGF,2012-08-21,89.0
SGF,2012-08-22,93.0
SGF,2012-08-23,92.0
SGF,2012-08-24,89.0
SGF,2012-08-25,83.0
SGF,2012-08-26,83.0
SGF,2012-08-27,89.0
SGF,2012-08-28,92.0
SGF,2012-08-29,94.0
SGF,2012-08-30,95.0
SGF,2012-08-31,75.0
SGF,2012-09-01,72.0
SGF,2012-09-02,88.0
SGF,2012-09-03,96.0
SGF,2012-09-04,96.0
SGF,2012-09-05,93.0
SGF,2012-09-06,93.0
SGF,2012-09-07,93.0
SGF,2012-09-08,72.0
SGF,2012-09-09,76.0
SGF,2012-09-10,78.0
SGF,2012-09-11,85.0
SGF,2012-09-12,83.0
SGF,2012-09-13,85.0
SGF,2012-09-14,61.0
SGF,2012-09-15,63.0
SGF,2012-09-16,72.0
SGF,2012-09-17,74.0
SGF,2012-09-18,68.0
SGF,2012-09-19,76.0
SGF,2012-09-20,77.0
SGF,2012-09-21,80.0
SGF,2012-09-22,73.0
SGF,2012-09-23,69.0
SGF,2012-09-24,77.0
SGF,2012-09-25,86.0
SGF,2012-09-26,73.0
SGF,2012-09-27,76.0
SGF,2012-09-28,76.0
SGF,2012-09-29,73.0
SGF,2012-09-30,72.0
SGF,2012-10-01,71.0
SGF,2012-10-02,71.0
SGF,2012-10-03,75.0
SGF,2012-10-04,79.0
SGF,2012-10-05,53.0
SGF,2012-10-06,47.0
SGF,2012-10-07,53.0
SGF,2012-10-08,58.0
SGF,2012-10-09,65.0
SGF,2012-10-10,60.0
SGF,2012-10-11,62.0
SGF,2012-10-12,63.0
SGF,2012-10-13,74.0
SGF,2012-10-14,69.0
SGF,2012-10-15,75.0
SGF,2012-10-16,77.0
SGF,2012-10-17,67.0
SGF,2012-10-18,60.0
SGF,2012-10-19,53.0
SGF,2012-10-20,73.0
SGF,2012-10-21,77.0
SGF,2012-10-22,79.0
SGF,2012-10-23,77.0
SGF,2012-10-24,80.0
SGF,2012-10-25,72.0
SGF,2012-10-26,48.0
SGF,2012-10-27,48.0
SGF,2012-10-28,51.0
SGF,2012-10-29,55.0
SGF,2012-10-30,60.0
SGF,2012-10-31,59.0
